Account ID,Subscription,Subscription Year,user age,job,marital,education,housing,loan,contact,Account Age,Count of linking accounts,default
11256,Yes,2022,56,housemaid,married,basic.4y,no,no,telephone,261,1,0
11257,Yes,2022,57,services,married,high.school,no,no,telephone,149,1,1
11258,Yes,2022,37,services,married,high.school,yes,no,telephone,226,1,0
11259,Yes,2022,40,admin.,married,basic.6y,no,no,telephone,151,1,1
11260,Yes,2022,56,services,married,high.school,no,yes,telephone,307,1,0
11261,Yes,2022,45,services,married,basic.9y,no,no,telephone,198,1,0
11262,Yes,2022,59,admin.,married,professional.course,no,no,telephone,139,1,0
11263,Yes,2022,41,blue-collar,married,unknown,no,no,telephone,217,1,0
11264,Yes,2022,24,technician,single,professional.course,yes,no,telephone,380,1,0
11265,Yes,2022,25,services,single,high.school,yes,no,telephone,50,1,0
11266,Yes,2022,41,blue-collar,married,unknown,no,no,telephone,55,1,1
11267,Yes,2022,25,services,single,high.school,yes,no,telephone,222,1,0
11268,Yes,2022,29,blue-collar,single,high.school,no,yes,telephone,137,1,1
11269,Yes,2022,57,housemaid,divorced,basic.4y,yes,no,telephone,293,1,0
11270,Yes,2022,35,blue-collar,married,basic.6y,yes,no,telephone,146,1,0
11271,Yes,2022,54,retired,married,basic.9y,yes,yes,telephone,174,1,0
11272,Yes,2022,35,blue-collar,married,basic.6y,yes,no,telephone,312,1,0
11273,Yes,2022,46,blue-collar,married,basic.6y,yes,yes,telephone,440,1,0
11274,Yes,2022,50,blue-collar,married,basic.9y,yes,yes,telephone,353,1,0
11275,Yes,2022,39,management,single,basic.9y,no,no,telephone,195,1,0
11276,Yes,2022,30,unemployed,married,high.school,no,no,telephone,38,1,1
11277,Yes,2022,55,blue-collar,married,basic.4y,yes,no,telephone,262,1,0
11278,Yes,2022,55,retired,single,high.school,yes,no,telephone,342,1,0
11279,Yes,2022,41,technician,single,high.school,yes,no,telephone,181,1,0
11280,Yes,2022,37,admin.,married,high.school,yes,no,telephone,172,1,0
11281,Yes,2022,35,technician,married,university.degree,no,yes,telephone,99,1,0
11282,Yes,2022,59,technician,married,unknown,yes,no,telephone,93,1,0
11283,Yes,2022,39,self-employed,married,basic.9y,no,no,telephone,233,1,0
11284,Yes,2022,54,technician,single,university.degree,no,no,telephone,255,2,0
11285,Yes,2022,55,unknown,married,university.degree,unknown,unknown,telephone,362,1,0
11286,Yes,2022,46,admin.,married,unknown,no,no,telephone,348,1,0
11287,Yes,2022,59,technician,married,unknown,yes,no,telephone,386,1,0
11288,Yes,2022,49,blue-collar,married,unknown,no,no,telephone,73,1,1
11289,Yes,2022,54,management,married,basic.4y,yes,no,telephone,230,1,0
11290,Yes,2022,54,blue-collar,divorced,basic.4y,no,no,telephone,208,1,0
11291,Yes,2022,55,unknown,married,basic.4y,yes,no,telephone,336,1,0
11292,Yes,2022,34,services,married,high.school,no,no,telephone,365,1,0
11293,Yes,2022,52,technician,married,basic.9y,yes,no,telephone,1666,1,0
11294,Yes,2022,41,admin.,married,university.degree,yes,no,telephone,577,1,0
11295,Yes,2022,56,technician,married,basic.4y,yes,no,telephone,137,1,0
11296,Yes,2022,58,management,unknown,university.degree,yes,no,telephone,366,1,0
11297,Yes,2022,32,entrepreneur,married,high.school,yes,no,telephone,314,1,0
11298,Yes,2022,38,admin.,single,professional.course,no,no,telephone,160,1,1
11299,Yes,2022,57,admin.,married,university.degree,no,yes,telephone,212,1,0
11300,Yes,2022,44,admin.,married,university.degree,yes,no,telephone,188,1,0
11301,Yes,2022,42,technician,single,professional.course,no,no,telephone,22,1,1
11302,Yes,2022,57,admin.,married,university.degree,yes,yes,telephone,616,1,0
11303,Yes,2022,40,blue-collar,married,basic.9y,no,yes,telephone,178,1,1
11304,Yes,2022,35,admin.,married,university.degree,yes,no,telephone,355,1,0
11305,Yes,2022,45,blue-collar,married,basic.9y,yes,no,telephone,225,2,0
11306,Yes,2022,54,admin.,married,high.school,no,no,telephone,160,1,1
11307,Yes,2022,39,housemaid,married,basic.4y,no,yes,telephone,266,1,0
11308,Yes,2022,60,admin.,married,high.school,no,no,telephone,253,1,0
